dataset,backbone,loss,bits,features,applicable,feature_definition,protocol,map_pct,codes_file,source
Houston2013,MoE-Mamba,OrthoHash,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/16/cls.npz,
Houston2013,MoE-Mamba,OrthoHash,16,all,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/16/all.npz,
Houston2013,MoE-Mamba,OrthoHash,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/32/cls.npz,
Houston2013,MoE-Mamba,OrthoHash,32,all,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/32/all.npz,
Houston2013,MoE-Mamba,OrthoHash,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/64/cls.npz,
Houston2013,MoE-Mamba,OrthoHash,64,all,yes,,,,codes/Houston2013/MoE-Mamba/OrthoHash/64/all.npz,
Houston2013,MoE-Mamba,DSPCH,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/16/cls.npz,
Houston2013,MoE-Mamba,DSPCH,16,all,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/16/all.npz,
Houston2013,MoE-Mamba,DSPCH,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/32/cls.npz,
Houston2013,MoE-Mamba,DSPCH,32,all,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/32/all.npz,
Houston2013,MoE-Mamba,DSPCH,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/64/cls.npz,
Houston2013,MoE-Mamba,DSPCH,64,all,yes,,,,codes/Houston2013/MoE-Mamba/DSPCH/64/all.npz,
Houston2013,MoE-Mamba,DHNN,16,cls,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/16/cls.npz,
Houston2013,MoE-Mamba,DHNN,16,all,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/16/all.npz,
Houston2013,MoE-Mamba,DHNN,32,cls,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/32/cls.npz,
Houston2013,MoE-Mamba,DHNN,32,all,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/32/all.npz,
Houston2013,MoE-Mamba,DHNN,64,cls,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/64/cls.npz,
Houston2013,MoE-Mamba,DHNN,64,all,yes,,,,codes/Houston2013/MoE-Mamba/DHNN/64/all.npz,
Houston2013,SSRN,CSQ,16,cls,yes,,,,codes/Houston2013/SSRN/CSQ/16/cls.npz,
Houston2013,SSRN,CSQ,16,all,yes,,,,codes/Houston2013/SSRN/CSQ/16/all.npz,
Houston2013,SSRN,CSQ,32,cls,yes,,,,codes/Houston2013/SSRN/CSQ/32/cls.npz,
Houston2013,SSRN,CSQ,32,all,yes,,,,codes/Houston2013/SSRN/CSQ/32/all.npz,
Houston2013,SSRN,CSQ,64,cls,yes,,,,codes/Houston2013/SSRN/CSQ/64/cls.npz,
Houston2013,SSRN,CSQ,64,all,yes,,,,codes/Houston2013/SSRN/CSQ/64/all.npz,
Houston2013,SSRN,DPN,16,cls,yes,,,,codes/Houston2013/SSRN/DPN/16/cls.npz,
Houston2013,SSRN,DPN,16,all,yes,,,,codes/Houston2013/SSRN/DPN/16/all.npz,
Houston2013,SSRN,DPN,32,cls,yes,,,,codes/Houston2013/SSRN/DPN/32/cls.npz,
Houston2013,SSRN,DPN,32,all,yes,,,,codes/Houston2013/SSRN/DPN/32/all.npz,
Houston2013,SSRN,DPN,64,cls,yes,,,,codes/Houston2013/SSRN/DPN/64/cls.npz,
Houston2013,SSRN,DPN,64,all,yes,,,,codes/Houston2013/SSRN/DPN/64/all.npz,
Houston2013,SSRN,DSH,16,cls,yes,,,,codes/Houston2013/SSRN/DSH/16/cls.npz,
Houston2013,SSRN,DSH,16,all,yes,,,,codes/Houston2013/SSRN/DSH/16/all.npz,
Houston2013,SSRN,DSH,32,cls,yes,,,,codes/Houston2013/SSRN/DSH/32/cls.npz,
Houston2013,SSRN,DSH,32,all,yes,,,,codes/Houston2013/SSRN/DSH/32/all.npz,
Houston2013,SSRN,DSH,64,cls,yes,,,,codes/Houston2013/SSRN/DSH/64/cls.npz,
Houston2013,SSRN,DSH,64,all,yes,,,,codes/Houston2013/SSRN/DSH/64/all.npz,
Houston2013,SSRN,GreedyHash,16,cls,yes,,,,codes/Houston2013/SSRN/GreedyHash/16/cls.npz,
Houston2013,SSRN,GreedyHash,16,all,yes,,,,codes/Houston2013/SSRN/GreedyHash/16/all.npz,
Houston2013,SSRN,GreedyHash,32,cls,yes,,,,codes/Houston2013/SSRN/GreedyHash/32/cls.npz,
Houston2013,SSRN,GreedyHash,32,all,yes,,,,codes/Houston2013/SSRN/GreedyHash/32/all.npz,
Houston2013,SSRN,GreedyHash,64,cls,yes,,,,codes/Houston2013/SSRN/GreedyHash/64/cls.npz,
Houston2013,SSRN,GreedyHash,64,all,yes,,,,codes/Houston2013/SSRN/GreedyHash/64/all.npz,
Houston2013,SSRN,HashNet,16,cls,yes,,,,codes/Houston2013/SSRN/HashNet/16/cls.npz,
Houston2013,SSRN,HashNet,16,all,yes,,,,codes/Houston2013/SSRN/HashNet/16/all.npz,
Houston2013,SSRN,HashNet,32,cls,yes,,,,codes/Houston2013/SSRN/HashNet/32/cls.npz,
Houston2013,SSRN,HashNet,32,all,yes,,,,codes/Houston2013/SSRN/HashNet/32/all.npz,
Houston2013,SSRN,HashNet,64,cls,yes,,,,codes/Houston2013/SSRN/HashNet/64/cls.npz,
Houston2013,SSRN,HashNet,64,all,yes,,,,codes/Houston2013/SSRN/HashNet/64/all.npz,
Houston2013,SSRN,IDHN,16,cls,yes,,,,codes/Houston2013/SSRN/IDHN/16/cls.npz,
Houston2013,SSRN,IDHN,16,all,yes,,,,codes/Houston2013/SSRN/IDHN/16/all.npz,
Houston2013,SSRN,IDHN,32,cls,yes,,,,codes/Houston2013/SSRN/IDHN/32/cls.npz,
Houston2013,SSRN,IDHN,32,all,yes,,,,codes/Houston2013/SSRN/IDHN/32/all.npz,
Houston2013,SSRN,IDHN,64,cls,yes,,,,codes/Houston2013/SSRN/IDHN/64/cls.npz,
Houston2013,SSRN,IDHN,64,all,yes,,,,codes/Houston2013/SSRN/IDHN/64/all.npz,
Houston2013,SSRN,OrthoHash,16,cls,yes,,,,codes/Houston2013/SSRN/OrthoHash/16/cls.npz,
Houston2013,SSRN,OrthoHash,16,all,yes,,,,codes/Houston2013/SSRN/OrthoHash/16/all.npz,
Houston2013,SSRN,OrthoHash,32,cls,yes,,,,codes/Houston2013/SSRN/OrthoHash/32/cls.npz,
Houston2013,SSRN,OrthoHash,32,all,yes,,,,codes/Houston2013/SSRN/OrthoHash/32/all.npz,
Houston2013,SSRN,OrthoHash,64,cls,yes,,,,codes/Houston2013/SSRN/OrthoHash/64/cls.npz,
Houston2013,SSRN,OrthoHash,64,all,yes,,,,codes/Houston2013/SSRN/OrthoHash/64/all.npz,
Houston2013,SSRN,DSPCH,16,cls,yes,,,,codes/Houston2013/SSRN/DSPCH/16/cls.npz,
Houston2013,SSRN,DSPCH,16,all,yes,,,,codes/Houston2013/SSRN/DSPCH/16/all.npz,
Houston2013,SSRN,DSPCH,32,cls,yes,,,,codes/Houston2013/SSRN/DSPCH/32/cls.npz,
Houston2013,SSRN,DSPCH,32,all,yes,,,,codes/Houston2013/SSRN/DSPCH/32/all.npz,
Houston2013,SSRN,DSPCH,64,cls,yes,,,,codes/Houston2013/SSRN/DSPCH/64/cls.npz,
Houston2013,SSRN,DSPCH,64,all,yes,,,,codes/Houston2013/SSRN/DSPCH/64/all.npz,
Houston2013,SSRN,DHNN,16,cls,yes,,,,codes/Houston2013/SSRN/DHNN/16/cls.npz,
Houston2013,SSRN,DHNN,16,all,yes,,,,codes/Houston2013/SSRN/DHNN/16/all.npz,
Houston2013,SSRN,DHNN,32,cls,yes,,,,codes/Houston2013/SSRN/DHNN/32/cls.npz,
Houston2013,SSRN,DHNN,32,all,yes,,,,codes/Houston2013/SSRN/DHNN/32/all.npz,
Houston2013,SSRN,DHNN,64,cls,yes,,,,codes/Houston2013/SSRN/DHNN/64/cls.npz,
Houston2013,SSRN,DHNN,64,all,yes,,,,codes/Houston2013/SSRN/DHNN/64/all.npz,
Houston2013,A2S2KResNet,CSQ,16,cls,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/16/cls.npz,
Houston2013,A2S2KResNet,CSQ,16,all,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/16/all.npz,
Houston2013,A2S2KResNet,CSQ,32,cls,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/32/cls.npz,
Houston2013,A2S2KResNet,CSQ,32,all,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/32/all.npz,
Houston2013,A2S2KResNet,CSQ,64,cls,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/64/cls.npz,
Houston2013,A2S2KResNet,CSQ,64,all,yes,,,,codes/Houston2013/A2S2KResNet/CSQ/64/all.npz,
Houston2013,A2S2KResNet,DPN,16,cls,yes,,,,codes/Houston2013/A2S2KResNet/DPN/16/cls.npz,
Houston2013,A2S2KResNet,DPN,16,all,yes,,,,codes/Houston2013/A2S2KResNet/DPN/16/all.npz,
Houston2013,A2S2KResNet,DPN,32,cls,yes,,,,codes/Houston2013/A2S2KResNet/DPN/32/cls.npz,
Houston2013,A2S2KResNet,DPN,32,all,yes,,,,codes/Houston2013/A2S2KResNet/DPN/32/all.npz,
Houston2013,A2S2KResNet,DPN,64,cls,yes,,,,codes/Houston2013/A2S2KResNet/DPN/64/cls.npz,
Houston2013,A2S2KResNet,DPN,64,all,yes,,,,codes/Houston2013/A2S2KResNet/DPN/64/all.npz,
Houston2013,A2S2KResNet,DSH,16,cls,yes,,,,codes/Houston2013/A2S2KResNet/DSH/16/cls.npz,
Houston2013,A2S2KResNet,DSH,16,all,yes,,,,codes/Houston2013/A2S2KResNet/DSH/16/all.npz,
